left	right	parent	child
0.000000	50000.000000	20000	10107
0.000000	50000.000000	20000	19584
0.000000	50000.000000	20001	3361
0.000000	50000.000000	20001	5023
0.000000	50000.000000	20002	15504
0.000000	50000.000000	20002	19496
0.000000	50000.000000	20003	4788
0.000000	50000.000000	20003	14687
0.000000	50000.000000	20004	16992
0.000000	50000.000000	20004	18233
0.000000	50000.000000	20005	931
0.000000	50000.000000	20005	3667
0.000000	50000.000000	20006	2183
0.000000	50000.000000	20006	9757
0.000000	50000.000000	20007	7750
0.000000	50000.000000	20007	19387
0.000000	50000.000000	20008	5451
0.000000	50000.000000	20008	14161
0.000000	50000.000000	20009	5709
0.000000	50000.000000	20009	17371
0.000000	50000.000000	20010	4423
0.000000	50000.000000	20010	17156
0.000000	50000.000000	20011	6518
0.000000	50000.000000	20011	16347
0.000000	50000.000000	20012	11319
0.000000	50000.000000	20012	17892
0.000000	50000.000000	20013	9736
0.000000	50000.000000	20013	18689
0.000000	50000.000000	20014	4688
0.000000	50000.000000	20014	7979
0.000000	50000.000000	20015	7761
0.000000	50000.000000	20015	9567
0.000000	50000.000000	20016	8807
0.000000	50000.000000	20016	13616
0.000000	50000.000000	20017	11777
0.000000	50000.000000	20017	13987
0.000000	50000.000000	20018	2937
0.000000	50000.000000	20018	3424
0.000000	50000.000000	20019	7474
0.000000	50000.000000	20019	17562
0.000000	50000.000000	20020	3612
0.000000	50000.000000	20020	17225
0.000000	50000.000000	20021	2860
0.000000	50000.000000	20021	3358
0.000000	50000.000000	20022	4907
0.000000	50000.000000	20022	8052
0.000000	50000.000000	20023	339
0.000000	50000.000000	20023	2319
0.000000	50000.000000	20024	2484
0.000000	50000.000000	20024	16701
0.000000	50000.000000	20025	17375
0.000000	50000.000000	20025	18132
0.000000	50000.000000	20026	6820
0.000000	50000.000000	20026	16976
0.000000	50000.000000	20027	1114
0.000000	50000.000000	20027	11275
0.000000	50000.000000	20028	8259
0.000000	50000.000000	20028	10875
0.000000	50000.000000	20029	14973
0.000000	50000.000000	20029	16575
0.000000	50000.000000	20030	1942
0.000000	50000.000000	20030	7241
0.000000	50000.000000	20031	8199
0.000000	50000.000000	20031	19952
0.000000	50000.000000	20032	12856
0.000000	50000.000000	20032	17461
0.000000	50000.000000	20033	13890
0.000000	50000.000000	20033	15300
0.000000	50000.000000	20034	4522
0.000000	50000.000000	20034	15703
0.000000	50000.000000	20035	11412
0.000000	50000.000000	20035	12343
0.000000	50000.000000	20036	7270
0.000000	50000.000000	20036	17709
0.000000	50000.000000	20037	15348
0.000000	50000.000000	20037	19139
0.000000	50000.000000	20038	4734
0.000000	50000.000000	20038	9524
0.000000	50000.000000	20039	5894
0.000000	50000.000000	20039	11653
0.000000	50000.000000	20040	9732
0.000000	50000.000000	20040	17311
0.000000	50000.000000	20041	14338
0.000000	50000.000000	20041	14757
0.000000	50000.000000	20042	19231
