left	right	parent	child
0.000000	5000.000000	2000	1010
0.000000	5000.000000	2000	1958
0.000000	5000.000000	2001	335
0.000000	5000.000000	2001	502
0.000000	5000.000000	2002	1550
0.000000	5000.000000	2002	1949
0.000000	5000.000000	2003	478
0.000000	5000.000000	2003	1467
0.000000	5000.000000	2004	1698
0.000000	5000.000000	2004	1823
0.000000	5000.000000	2005	92
0.000000	5000.000000	2005	366
0.000000	5000.000000	2006	218
0.000000	5000.000000	2006	976
0.000000	5000.000000	2007	776
0.000000	5000.000000	2007	1939
0.000000	5000.000000	2008	545
0.000000	5000.000000	2008	1415
0.000000	5000.000000	2009	572
0.000000	5000.000000	2009	1737
0.000000	5000.000000	2010	441
0.000000	5000.000000	2010	1715
0.000000	5000.000000	2011	653
0.000000	5000.000000	2011	1634
0.000000	5000.000000	2012	1132
0.000000	5000.000000	2012	1789
0.000000	5000.000000	2013	973
0.000000	5000.000000	2013	1869
0.000000	5000.000000	2014	466
0.000000	5000.000000	2014	798
0.000000	5000.000000	2015	775
0.000000	5000.000000	2015	957
0.000000	5000.000000	2016	881
0.000000	5000.000000	2016	1362
0.000000	5000.000000	2017	1179
0.000000	5000.000000	2017	1399
0.000000	5000.000000	2018	292
0.000000	5000.000000	2018	340
0.000000	5000.000000	2019	747
0.000000	5000.000000	2019	1757
0.000000	5000.000000	2020	359
0.000000	5000.000000	2020	1723
0.000000	5000.000000	2021	284
0.000000	5000.000000	2021	334
0.000000	5000.000000	2022	491
0.000000	5000.000000	2022	808
0.000000	5000.000000	2023	33
0.000000	5000.000000	2023	230
0.000000	5000.000000	2024	248
0.000000	5000.000000	2024	1671
0.000000	5000.000000	2025	1738
0.000000	5000.000000	2025	1814
0.000000	5000.000000	2026	682
0.000000	5000.000000	2026	1697
0.000000	5000.000000	2027	110
0.000000	5000.000000	2027	1129
0.000000	5000.000000	2028	827
0.000000	5000.000000	2028	1089
0.000000	5000.000000	2029	1498
0.000000	5000.000000	2029	1657
0.000000	5000.000000	2030	193
0.000000	5000.000000	2030	724
0.000000	5000.000000	2031	822
0.000000	5000.000000	2031	1996
0.000000	5000.000000	2032	1286
0.000000	5000.000000	2032	1747
0.000000	5000.000000	2033	1389
0.000000	5000.000000	2033	1530
0.000000	5000.000000	2034	451
0.000000	5000.000000	2034	1572
0.000000	5000.000000	2035	1143
0.000000	5000.000000	2035	1235
0.000000	5000.000000	2036	726
0.000000	5000.000000	2036	1772
0.000000	5000.000000	2037	1535
0.000000	5000.000000	2037	1915
0.000000	5000.000000	2038	472
0.000000	5000.000000	2038	952
0.000000	5000.000000	2039	590
0.000000	5000.000000	2039	1168
0.000000	5000.000000	2040	975
0.000000	5000.000000	2040	1733
0.000000	5000.000000	2041	1435
0.000000	5000.000000	2041	1477
0.000000	5000.000000	2042	1923
0.000000	5000.000000	2042	1950
0.000000	5000.000000	2043	1517
0.000000	5000.000000	2043	2000
0.000000	5000.000000	2044	868
0.000000	5000.000000	2044	1245
0.000000	5000.000000	2045	1416
0.000000	5000.000000	2045	1721
0.000000	5000.000000	2046	41
0.000000	5000.000000	2046	265
0.000000	5000.000000	2047	1012
0.000000	5000.000000	2047	1029
0.000000	5000.000000	2048	1119
0.000000	5000.000000	2048	1320
0.000000	5000.000000	2049	958
0.000000	5000.000000	2049	1069
0.000000	5000.000000	2050	289
0.000000	5000.000000	2050	290
0.000000	5000.000000	2051	787
0.000000	5000.000000	2051	1072
0.000000	5000.000000	2052	562
0.000000	5000.000000	2052	911
0.000000	5000.000000	2053	266
0.000000	5000.000000	2053	1926
0.000000	5000.000000	2054	874
0.000000	5000.000000	2054	1793
0.000000	5000.000000	2055	977
0.000000	5000.000000	2055	1942
0.000000	5000.000000	2056	1590
0.000000	5000.000000	2056	1682
0.000000	5000.000000	2057	309
0.000000	5000.000000	2057	1324
0.000000	5000.000000	2058	1002
0.000000	5000.000000	2058	1643
0.000000	5000.000000	2059	1269
0.000000	5000.000000	2059	1346
0.000000	5000.000000	2060	493
0.000000	5000.000000	2060	1411
0.000000	5000.000000	2061	510
0.000000	5000.000000	2061	1527
0.000000	5000.000000	2062	74
0.000000	5000.000000	2062	801
0.000000	5000.000000	2063	610
0.000000	5000.000000	2063	1633
0.000000	5000.000000	2064	962
0.000000	5000.000000	2064	1902
0.000000	5000.000000	2065	605
0.000000	5000.000000	2065	912
0.000000	5000.000000	2066	700
0.000000	5000.000000	2066	1238
0.000000	5000.000000	2067	147
0.000000	5000.000000	2067	2014
0.000000	5000.000000	2068	930
0.000000	5000.000000	2068	1727
0.000000	5000.000000	2069	43
0.000000	5000.000000	2069	1307
0.000000	5000.000000	2070	412
0.000000	5000.000000	2070	1665
0.000000	5000.000000	2071	243
0.000000	5000.000000	2071	364
0.000000	5000.000000	2072	584
