left	right	parent	child
0.000000	1000000.000000	1000	504
0.000000	1000000.000000	1000	979
0.000000	1000000.000000	1001	290
0.000000	1000000.000000	1001	802
0.000000	1000000.000000	1002	736
0.000000	1000000.000000	1002	832
0.000000	1000000.000000	1003	122
0.000000	1000000.000000	1003	279
0.000000	1000000.000000	1004	327
0.000000	1000000.000000	1004	418
0.000000	1000000.000000	1005	384
0.000000	1000000.000000	1005	721
0.000000	1000000.000000	1006	351
0.000000	1000000.000000	1006	949
0.000000	1000000.000000	1007	443
0.000000	1000000.000000	1007	685
0.000000	1000000.000000	1008	172
0.000000	1000000.000000	1008	928
0.000000	1000000.000000	1009	375
0.000000	1000000.000000	1009	563
0.000000	1000000.000000	1010	233
0.000000	1000000.000000	1010	805
0.000000	1000000.000000	1011	535
0.000000	1000000.000000	1011	840
0.000000	1000000.000000	1012	708
0.000000	1000000.000000	1012	913
0.000000	1000000.000000	1013	415
0.000000	1000000.000000	1013	547
0.000000	1000000.000000	1014	755
0.000000	1000000.000000	1014	835
0.000000	1000000.000000	1015	453
0.000000	1000000.000000	1015	968
0.000000	1000000.000000	1016	925
0.000000	1000000.000000	1016	926
0.000000	1000000.000000	1017	420
0.000000	1000000.000000	1017	659
0.000000	1000000.000000	1018	297
0.000000	1000000.000000	1018	588
0.000000	1000000.000000	1019	704
0.000000	1000000.000000	1019	973
0.000000	1000000.000000	1020	148
0.000000	1000000.000000	1020	149
0.000000	1000000.000000	1021	137
0.000000	1000000.000000	1021	663
0.000000	1000000.000000	1022	315
0.000000	1000000.000000	1022	367
0.000000	1000000.000000	1023	499
0.000000	1000000.000000	1023	777
0.000000	1000000.000000	1024	313
0.000000	1000000.000000	1024	800
0.000000	1000000.000000	1025	80
0.000000	1000000.000000	1025	364
0.000000	1000000.000000	1026	483
0.000000	1000000.000000	1026	892
0.000000	1000000.000000	1027	454
0.000000	1000000.000000	1027	994
0.000000	1000000.000000	1028	207
0.000000	1000000.000000	1028	816
0.000000	1000000.000000	1029	426
0.000000	1000000.000000	1029	766
0.000000	1000000.000000	1030	584
0.000000	1000000.000000	1030	906
0.000000	522540.616459	1031	459
0.000000	522540.616459	1031	778
0.000000	1000000.000000	1032	225
0.000000	1000000.000000	1032	439
0.000000	1000000.000000	1033	105
0.000000	1000000.000000	1033	162
544239.353050	1000000.000000	1034	491
544239.353050	1000000.000000	1034	646
0.000000	244556.315766	1035	164
0.000000	244556.315766	1035	833
77648.474853	1000000.000000	1036	570
77648.474853	1000000.000000	1036	869
0.000000	1000000.000000	1037	737
0.000000	1000000.000000	1037	864
0.000000	902685.841523	1038	776
0.000000	902685.841523	1038	788
244556.315766	1000000.000000	1039	402
244556.315766	1000000.000000	1039	833
0.000000	1000000.000000	1040	66
522540.616459	1000000.000000	1040	459
0.000000	522540.616459	1040	1031
0.000000	31993.887627	1041	585
0.000000	31993.887627	1041	666
0.000000	1000000.000000	1042	135
0.000000	1000000.000000	1042	873
520945.528643	1000000.000000	1043	38
520945.528643	1000000.000000	1043	250
0.000000	1000000.000000	1044	224
0.000000	1000000.000000	1044	960
0.000000	520945.528643	1045	38
0.000000	764024.299049	1045	253
520945.528643	764024.299049	1045	1043
663823.219404	1000000.000000	1046	740
663823.219404	1000000.000000	1046	1037
0.000000	1000000.000000	1047	141
0.000000	1000000.000000	1047	667
0.000000	1000000.000000	1048	110
0.000000	1000000.000000	1048	463
0.000000	1000000.000000	1049	131
0.000000	1000000.000000	1049	442
0.000000	1000000.000000	1050	433
0.000000	1000000.000000	1050	730
176928.357030	1000000.000000	1051	298
176928.357030	1000000.000000	1051	965
0.000000	1000000.000000	1052	40
0.000000	1000000.000000	1052	528
0.000000	1000000.000000	1053	234
0.000000	1000000.000000	1053	1010
0.000000	1000000.000000	1054	416
902685.841523	1000000.000000	1054	776
0.000000	902685.841523	1054	1038
0.000000	82543.864633	1055	39
0.000000	82543.864633	1055	687
903030.092107	1000000.000000	1056	184
903030.092107	1000000.000000	1056	482
0.000000	1000000.000000	1057	682
0.000000	1000000.000000	1057	861
0.000000	1000000.000000	1058	326
0.000000	1000000.000000	1058	497
0.000000	1000000.000000	1059	762
0.000000	1000000.000000	1059	810
0.000000	1000000.000000	1060	440
0.000000	1000000.000000	1060	929
0.000000	1000000.000000	1061	197
0.000000	1000000.000000	1061	432
0.000000	1000000.000000	1062	173
0.000000	1000000.000000	1062	640
0.000000	1000000.000000	1063	368
0.000000	1000000.000000	1063	404
423585.487861	743130.938556	1064	852
423585.487861	743130.938556	1064	1020
0.000000	1000000.000000	1065	844
0.000000	1000000.000000	1065	948
0.000000	1000000.000000	1066	98
0.000000	1000000.000000	1066	1040
0.000000	526392.249280	1067	300
0.000000	526392.249280	1067	995
0.000000	1000000.000000	1068	354
0.000000	1000000.000000	1068	821
0.000000	1000000.000000	1069	94
0.000000	1000000.000000	1069	748
159528.736994	1000000.000000	1070	177
159528.736994	1000000.000000	1070	822
892863.307123	1000000.000000	1071	159
892863.307123	1000000.000000	1071	828
0.000000	1000000.000000	1072	369
0.000000	1000000.000000	1072	388
0.000000	84982.104852	1073	769
0.000000	84982.104852	1073	989
244556.315766	1000000.000000	1074	164
0.000000	1000000.000000	1074	635
0.000000	244556.315766	1074	1035
0.000000	1000000.000000	1075	516
0.000000	1000000.000000	1075	643
0.000000	1000000.000000	1076	920
0.000000	1000000.000000	1076	990
0.000000	1000000.000000	1077	99
0.000000	1000000.000000	1077	450
0.000000	1000000.000000	1078	553
0.000000	1000000.000000	1078	621
0.000000	1000000.000000	1079	226
0.000000	1000000.000000	1079	227
0.000000	1000000.000000	1080	696
0.000000	1000000.000000	1080	1004
0.000000	33993.192025	1081	265
0.000000	33993.192025	1081	397
669050.503445	1000000.000000	1082	271
669050.503445	1000000.000000	1082	860
0.000000	656420.004008	1083	806
0.000000	656420.004008	1083	938
0.000000	1000000.000000	1084	581
0.000000	1000000.000000	1084	797
0.000000	953604.649043	1085	785
0.000000	953604.649043	1085	848
0.000000	775328.716677	1086	258
0.000000	775328.716677	1086	539
0.000000	1000000.000000	1087	144
0.000000	1000000.000000	1087	1078
0.000000	669050.503445	1088	324
0.000000	669050.503445	1088	860
0.000000	111783.297991	1089	349
0.000000	111783.297991	1089	455
564059.502576	932272.979043	1090	745
564059.502576	932272.979043	1090	796
144882.746307	857174.049098	1091	270
144882.746307	857174.049098	1091	715
838747.453605	1000000.000000	1092	476
838747.453605	1000000.000000	1092	679
0.000000	1000000.000000	1093	214
0.000000	1000000.000000	1093	274
0.000000	175933.758071	1094	179
0.000000	175933.758071	1094	295
123767.818353	1000000.000000	1095	213
123767.818353	1000000.000000	1095	763
256026.348624	786056.486141	1096	476
256026.348624	786056.486141	1096	850
717371.138445	1000000.000000	1097	392
717371.138445	1000000.000000	1097	885
567649.937600	1000000.000000	1098	33
567649.937600	1000000.000000	1098	209
269403.536168	1000000.000000	1099	575
269403.536168	1000000.000000	1099	617
0.000000	693677.108431	1100	29
0.000000	693677.108431	1100	569
0.000000	1000000.000000	1101	841
0.000000	1000000.000000	1101	1052
122329.006466	634038.427992	1102	331
122329.006466	634038.427992	1102	385
15106.966723	1000000.000000	1103	488
15106.966723	1000000.000000	1103	1042
0.000000	1000000.000000	1104	888
0.000000	1000000.000000	1104	908
0.000000	1000000.000000	1105	7
0.000000	1000000.000000	1105	409
0.000000	1000000.000000	1106	424
0.000000	269403.536168	1106	575
269403.536168	1000000.000000	1106	1099
0.000000	1000000.000000	1107	337
0.000000	1000000.000000	1107	724
250130.988716	1000000.000000	1108	228
250130.988716	1000000.000000	1108	653
530016.213779	1000000.000000	1109	166
530016.213779	1000000.000000	1109	429
0.000000	604029.754783	1110	37
0.000000	604029.754783	1110	912
0.000000	1000000.000000	1111	597
0.000000	1000000.000000	1111	700
0.000000	1000000.000000	1112	45
0.000000	1000000.000000	1112	341
798325.942549	1000000.000000	1113	136
798325.942549	1000000.000000	1113	1111
0.000000	1000000.000000	1114	10
0.000000	892863.307123	1114	828
892863.307123	1000000.000000	1114	1071
701655.196189	1000000.000000	1115	35
701655.196189	1000000.000000	1115	943
0.000000	472978.710540	1116	803
0.000000	472978.710540	1116	1107
0.000000	2001.194982	1117	237
0.000000	2001.194982	1117	305
986849.763660	1000000.000000	1118	288
986849.763660	1000000.000000	1118	565
0.000000	1000000.000000	1119	128
0.000000	1000000.000000	1119	881
580773.531827	628487.610172	1120	727
580773.531827	628487.610172	1120	794
941912.296447	1000000.000000	1121	146
941912.296447	1000000.000000	1121	1036
0.000000	585831.411086	1122	159
0.000000	585831.411086	1122	391
0.000000	638037.872184	1123	325
0.000000	638037.872184	1123	905
0.000000	1000000.000000	1124	211
0.000000	1000000.000000	1124	578
119016.265524	611682.031446	1125	155
119016.265524	611682.031446	1125	365
0.000000	1000000.000000	1126	221
0.000000	1000000.000000	1126	673
585831.411086	1000000.000000	1127	26
585831.411086	1000000.000000	1127	391
0.000000	209654.259311	1128	36
0.000000	209654.259311	1128	545
0.000000	15904.238684	1129	89
0.000000	15904.238684	1129	674
995058.066210	1000000.000000	1130	145
995058.066210	1000000.000000	1130	811
0.000000	1000000.000000	1131	357
0.000000	1000000.000000	1131	595
0.000000	644080.590374	1132	291
0.000000	644080.590374	1132	616
296172.990765	1000000.000000	1133	323
296172.990765	995058.066210	1133	811
995058.066210	1000000.000000	1133	1130
472978.710540	1000000.000000	1134	803
472978.710540	1000000.000000	1134	909
0.000000	544239.353050	1135	491
0.000000	544239.353050	1135	519
0.000000	192903.106146	1136	335
0.000000	192903.106146	1136	600
0.000000	1000000.000000	1137	309
0.000000	1000000.000000	1137	876
0.000000	288849.679355	1138	527
0.000000	288849.679355	1138	1063
0.000000	1000000.000000	1139	935
0.000000	1000000.000000	1139	959
165135.736383	1000000.000000	1140	953
165135.736383	1000000.000000	1140	956
0.000000	807502.934664	1141	246
0.000000	807502.934664	1141	749
198794.653918	1000000.000000	1142	272
198794.653918	1000000.000000	1142	871
0.000000	1000000.000000	1143	61
0.000000	1000000.000000	1143	936
0.000000	1000000.000000	1144	275
0.000000	1000000.000000	1144	946
15904.238684	992907.494072	1145	511
15904.238684	992907.494072	1145	674
611682.031446	1000000.000000	1146	365
611682.031446	1000000.000000	1146	414
460303.578633	1000000.000000	1147	582
460303.578633	1000000.000000	1147	1070
0.000000	1000000.000000	1148	386
0.000000	1000000.000000	1148	964
0.000000	512219.650324	1149	658
0.000000	512219.650324	1149	1021
0.000000	1000000.000000	1150	626
0.000000	1000000.000000	1150	665
0.000000	1000000.000000	1151	9
0.000000	1000000.000000	1151	692
0.000000	1000000.000000	1152	8
0.000000	1000000.000000	1152	1047
0.000000	66483.095304	1153	622
0.000000	66483.095304	1153	759
932372.724622	1000000.000000	1154	509
932372.724622	1000000.000000	1154	1112
322201.493970	392305.889957	1155	96
322201.493970	392305.889957	1155	390
360003.975071	809699.286662	1156	185
360003.975071	809699.286662	1156	611
192903.106146	389701.236130	1157	335
0.000000	389701.236130	1157	870
0.000000	192903.106146	1157	1136
0.000000	1000000.000000	1158	651
0.000000	1000000.000000	1158	978
820012.364960	1000000.000000	1159	90
820012.364960	1000000.000000	1159	1002
0.000000	542923.086682	1160	296
0.000000	542923.086682	1160	782
0.000000	354691.117153	1161	683
0.000000	354691.117153	1161	706
0.000000	1000000.000000	1162	154
0.000000	1000000.000000	1162	660
0.000000	120202.074088	1163	412
0.000000	120202.074088	1163	580
0.000000	347471.767652	1164	53
0.000000	347471.767652	1164	676
0.000000	227503.059019	1165	624
0.000000	227503.059019	1165	650
0.000000	1000000.000000	1166	1032
0.000000	1000000.000000	1166	1105
0.000000	1000000.000000	1167	353
0.000000	1000000.000000	1167	451
868880.556633	1000000.000000	1168	573
868880.556633	1000000.000000	1168	603
0.000000	717382.870316	1169	423
644080.590374	717382.870316	1169	616
0.000000	644080.590374	1169	1132
0.000000	586105.107001	1170	104
0.000000	586105.107001	1170	195
589509.111501	690509.384193	1170	195
589509.111501	690509.384193	1170	540
526392.249280	996779.208304	1171	877
526392.249280	996779.208304	1171	995
0.000000	903030.092107	1172	184
0.000000	903030.092107	1172	1006
419.529155	1000000.000000	1173	51
419.529155	1000000.000000	1173	372
0.000000	1000000.000000	1174	401
0.000000	903030.092107	1174	482
903030.092107	1000000.000000	1174	1056
0.000000	1000000.000000	1175	153
0.000000	1000000.000000	1175	363
0.000000	601265.120926	1176	899
0.000000	601265.120926	1176	1015
0.000000	159528.736994	1177	177
0.000000	159528.736994	1177	866
0.000000	100328.378868	1178	304
0.000000	100328.378868	1178	478
0.000000	838747.453605	1179	679
0.000000	838747.453605	1179	1152
0.000000	701655.196189	1180	943
0.000000	1000000.000000	1180	1054
701655.196189	1000000.000000	1180	1115
734443.434685	1000000.000000	1181	125
734443.434685	1000000.000000	1181	701
996607.547625	1000000.000000	1182	592
996607.547625	1000000.000000	1182	655
0.000000	467428.972355	1183	183
0.000000	467428.972355	1183	790
0.000000	1000000.000000	1184	344
0.000000	244556.315766	1184	402
244556.315766	1000000.000000	1184	1039
0.000000	1000000.000000	1185	1057
472978.710540	1000000.000000	1185	1107
0.000000	472978.710540	1185	1116
334653.656309	1000000.000000	1186	517
334653.656309	1000000.000000	1186	991
0.000000	407409.845015	1187	625
0.000000	407409.845015	1187	739
571216.682804	1000000.000000	1188	5
571216.682804	1000000.000000	1188	282
0.000000	1000000.000000	1189	465
0.000000	1000000.000000	1189	481
495207.791332	1000000.000000	1190	193
495207.791332	1000000.000000	1190	240
0.000000	1000000.000000	1191	134
0.000000	1000000.000000	1191	348
0.000000	585831.411086	1192	26
0.000000	1000000.000000	1192	857
585831.411086	1000000.000000	1192	1127
764024.299049	1000000.000000	1193	68
764024.299049	1000000.000000	1193	253
